Time,X
"6-30",0.027866
"6-30",0.043198
"6-30",0.068339
"6-30",0.076527
"6-30",0.040809
"6-30",0.063729
"6-30",0.055234
"6-30",0.037135
"6-30",-0.002852
"6-30",-0.023058
"6-30",-0.004334
"6-30",0.017841
"6-30",0.048397
"6-30",0.059556
"6-30",0.035328
"6-30",0.017457
"6-30",0.021275
"6-30",0.016154
"6-30",0.064479
"6-30",0.080909
"6-30",0.131575
"6-30",0.092147
"6-30",0.075375
"6-30",0.079775
"6-30",0.04638
"6-30",0.025477
"6-30",0.034758
"6-30",0.060685
"6-30",0.061832
"6-30",0.040064
"6-30",0.024264
"6-30",0.028935
"6-30",0.011976
"6-30",-0.000768
"6-30",-0.000228
"6-30",-0.030394
"6-30",-0.026642
"6-30",-0.023034
"6-30",0.058176
"6-30",0.072745
"6-30",0.048859
"6-30",0.066088
"6-30",0.052947
"6-30",0.041115
"6-30",0.048391
"6-30",0.083995
"6-30",0.094278
"6-30",0.088629
"6-30",0.080285
"6-30",0.091517
"6-30",0.059124
"6-30",0.058398
"6-30",0.054592
"6-30",0.06314
"6-30",0.075447
"6-30",0.087315
"6-30",0.120716
"6-30",0.070794
"6-30",-0.009059
"6-30",0.023394
"6-30",0.018423
"6-30",0.00491
"6-30",-0.027284
"6-30",-0.03893
"6-30",-0.012324
"6-30",0.006867
"6-30",-0.006561
"6-30",-0.008837
"6-30",-0.024216
"6-30",-0.0029
"6-30",-0.013945
"6-30",-0.020765
"6-30",-0.002671
"6-30",0.062216
"6-30",0.064257
"6-30",0.050282
"6-30",0.043618
"6-30",0.048877
"6-30",0.046044
"6-30",0.034247
"6-30",0.037687
"6-30",0.052095
"6-30",0.041643
"6-30",0.045167
"6-30",0.053379
"6-30",0.059707
"6-30",0.058542
"6-30",0.066232
"6-30",0.03902
"6-30",0.007882
"6-30",0.016664
"6-30",0.042946
"6-30",0.049741
"6-30",0.045857
"6-30",0.051764
"6-30",0.045821
"6-30",0.04354
"6-30",0.019216
"6-30",0.040569
"6-30",0.030628
"6-30",0.054634
"6-30",0.016304
"6-30",0.033359
"6-30",0.034626
"6-30",0.004238
"6-30",0.020639
"6-30",0.024721
"6-30",0.031432
"6-30",0.052665
"6-30",0.076305
"6-30",0.072331
"6-30",0.013165
"6-30",0.004004
"6-30",0.013261
"6-30",-0.008374
"6-30",-0.062414
"6-30",-0.074486
"6-30",-0.046926
"6-30",-0.011802
"6-30",-0.02346
"6-30",-0.009185
"6-30",-0.0348
"6-30",-0.032435
"6-30",-0.026041
"6-30",-0.009215
"6-30",-0.00027
"6-30",0.019534
"6-30",0.025615
"6-30",0.012486
"6-30",-0.004863
"6-30",0.00108
"6-30",0.004136
"6-30",-0.004118
"6-30",-0.026348
"6-30",-0.009851
"6-30",-0.016593
"6-30",-0.01242
"6-30",-0.036901
"6-30",-0.043054
"6-30",-0.052665
"6-30",-0.034794
"6-30",-0.054754
"6-30",-0.125164
"6-30",-0.140058
"6-30",-0.0617
"6-30",-0.043811
"6-30",-0.031528
"6-30",-0.010259
"6-30",-0.007972
"6-30",-0.006303
"6-30",-0.03145
"6-30",-0.022524
"6-30",-0.009029
"6-30",-0.004496
"6-30",-4.81E-05
"6-30",-0.024607
"6-30",-0.005085
"6-30",-0.013867
"6-30",-0.021521
"6-30",-0.021767
"6-30",-0.010974
"6-30",-0.012318
"6-30",0.01948
"6-30",0.012552
"6-30",-0.011532
"6-30",-0.066958
"6-30",-0.054862
"6-30",-0.034956
"6-30",-0.083359
"6-30",-0.094633
"6-30",-0.081288
"6-30",-0.016791
"6-30",-0.020843
"6-30",-0.054982
"6-30",-0.050294
"6-30",-0.082098
"6-30",-0.08229
"6-30",-0.054616
"6-30",-0.064821
"6-30",-0.050756
"6-30",-0.001645
"6-30",-0.01568
"6-30",-0.021281
"6-30",-0.035544
"6-30",-0.028437
"6-30",-0.031192
"6-30",-0.030442
"6-30",-0.047154
"6-30",-0.030304
"6-30",-0.025183
"6-30",-0.00703
"6-30",0.000846
"6-30",-0.013831
"6-30",-0.02804
"6-30",-0.029127
"6-30",-0.048259
"6-30",-0.092622
"6-30",-0.064941
"6-30",-0.020975
"6-30",-0.02014
"6-30",-0.007516
"6-30",-0.002557
"6-30",-0.013297
"6-30",-0.004767
"6-30",-0.005823
"6-30",0.00359
"6-30",-0.017691
"6-30",-0.016479
"6-30",-0.026492
"6-30",-0.021545
"6-30",0.014882
"6-30",0.014509
"6-30",0.012762
"6-30",0.004046
"6-30",-0.013657
